,UBIGEO,P1$01,P1$02,P1$03,P1$04,P1$05,P1$06,P1$07,P1$08,P1$09,P1$10,P1$11,P1$12,P1$13,P1$14,P1$15,P1$16,P1$17,P1$18,P1$19,P1$20,P1$21,P2A1$1,P2A1$2,P2A1$3,P2A1$4,P507,P207,P208A,P301A,Region,REGION
21715,100208,2.5,1.0,4.0,2.0,2.0,4.0,4.0,2.5,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.5,2.0,2.5,2.5,2.5,3,2,5,2,8,2,81,1,10,HUANUCO
21716,100208,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2,5,5,3,2,2,43,3,10,HUANUCO
21717,100208,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.5,4,4,3,4,4,2,24,6,10,HUANUCO
21718,100208,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3,3,3,3,2,1,27,7,10,HUANUCO
21719,100208,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.5,2.0,1.0,3,2,2,2,2,1,71,4,10,HUANUCO
21720,100208,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,3,3,3,4,2,2,75,5,10,HUANUCO
21721,100208,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2,2,2,1,4,2,40,6,10,HUANUCO
21722,100208,2.0,2.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2,2,3,3,3,1,43,6,10,HUANUCO
21723,100208,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,4,3,3,3,8,2,57,6,10,HUANUCO
21724,100801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3,3,2,2,2,1,49,3,10,HUANUCO
21725,100801,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3,3,3,2,2,39,3,10,HUANUCO
21726,100801,2.5,2.5,2.5,2.5,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.5,2.5,2.5,2.5,5,5,5,5,2,2,62,3,10,HUANUCO
21727,100801,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2,2,2,2,2,2,20,4,10,HUANUCO
21728,100801,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.0,2.0,2.5,2.5,2.5,2.5,2.5,3.0,2.5,2.5,2.5,2.5,2.5,3,3,3,3,2,1,29,4,10,HUANUCO
21729,100801,2.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,5,2,3,3,2,27,4,10,HUANUCO
21730,100801,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.5,2.5,2.0,2.5,2.5,2.5,2.5,2.5,2.0,2.5,2.5,4.0,2.5,2.5,3,3,5,5,2,2,38,3,10,HUANUCO
21731,100801,2.5,1.0,1.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2,3,3,3,5,2,75,3,10,HUANUCO
21732,110106,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,4,3,2,2,4,1,31,9,11,ICA
21733,110106,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,2.5,2.0,2.5,3,3,3,2,2,1,49,5,11,ICA
21734,110106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3,3,3,2,2,1,28,6,11,ICA
21735,110106,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3,2,2,2,8,2,89,3,11,ICA
21736,110106,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,4,2,2,2,2,1,45,9,11,ICA
21737,110106,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4,3,3,3,3,1,35,7,11,ICA
21738,110106,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4,3,3,3,2,1,20,7,11,ICA
21739,110106,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,2,3,1,20,7,11,ICA
21740,110106,3.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3,3,3,3,8,2,25,7,11,ICA
21741,110106,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4,3,4,4,8,2,51,6,11,ICA
21742,110106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4,3,3,2,2,1,41,8,11,ICA
21743,110106,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,4,3,3,3,2,2,63,10,11,ICA
