,REGION,2023,P106,P1$01,P1$02,P1$03,P1$04,P1$05,P1$06,P1$07,P1$08,P1$09,P1$10,P1$11,P1$12,P1$13,P1$14,P1$15,P1$16,P1$17,P1$18,P1$19,P1$20,P1$21
10,JUNIN,1331.0593637126485,219.1793313069909,1.846282652377763,1.8971868720696583,2.412257200267917,1.715003348961822,1.7943737441393168,1.7799732083054254,2.0036838580040186,1.6289350301406564,1.7186872069658405,2.2414601473543203,1.955793703951775,1.3338914936369726,1.2819825853985265,1.5673141326188882,1.7230408573342264,2.185532484929672,1.7602143335565974,1.7916945746818487,1.8523107836570663,1.9169457468184863,1.8606831882116543
11,LA LIBERTAD,1564.403804023445,396.02246320681644,1.8524833209785025,1.9028910303928837,2.3695329873980726,1.8584136397331357,1.88472942920682,1.868421052631579,2.2197924388435877,1.7542624166048926,1.7935507783543365,2.3106004447739066,2.0815418828762047,1.4670126019273535,1.4217939214232764,1.7727946627131208,1.9599703484062267,2.1475166790214972,1.7979985174203112,1.865826538176427,1.8639733135656043,1.9929577464788732,1.876945885841364
12,LAMBAYEQUE,1476.7387407286828,385.67057837384743,1.975095785440613,2.042528735632184,2.6049808429118775,1.8045977011494252,1.789272030651341,1.9965517241379311,2.232567049808429,1.7636015325670498,1.8279693486590038,2.370498084291188,1.9655172413793103,1.3490421455938697,1.3122605363984674,1.742911877394636,1.988888888888889,2.5973180076628353,1.8103448275862069,1.8724137931034484,1.899616858237548,1.9409961685823756,1.8532567049808428
13,LIMA,2141.132964559012,726.963313270278,1.9179878048780488,1.9591463414634147,2.4246951219512196,1.8658536585365855,1.8775914634146342,1.9425304878048781,2.2016768292682927,1.8035060975609756,1.6777439024390244,2.1079268292682927,1.9320121951219513,1.3474085365853659,1.3448170731707316,1.671951219512195,1.8057926829268294,2.3358231707317074,1.7974085365853658,1.8053353658536586,1.8455792682926828,1.9684451219512196,1.8266768292682927
14,CALLAO,2141.132964559012,666.5139442231076,1.8241525423728813,1.8968926553672316,2.4519774011299433,1.8559322033898304,1.8700564971751412,1.9646892655367232,2.288135593220339,1.7302259887005649,1.6694915254237288,2.1137005649717513,1.9427966101694916,1.3185028248587571,1.319915254237288,1.7019774011299436,1.82909604519774,2.3347457627118646,1.7394067796610169,1.7634180790960452,1.8043785310734464,1.9661016949152543,1.7648305084745763
15,LORETO,1427.1484940836826,317.2257300710339,1.9679487179487178,1.9803921568627452,2.627073906485671,1.8906485671191553,1.886500754147813,1.9513574660633484,2.356711915535445,1.8815987933634992,1.9958521870286576,2.4347662141779787,2.168174962292609,1.5991704374057316,1.5105580693815988,1.8438914027149322,2.005656108597285,2.3676470588235294,1.7748868778280542,1.9611613876319758,1.951734539969834,2.1131221719457014,1.908371040723982
16,MADRE DE DIOS,1783.9045789052768,370.1419213973799,1.7454710144927537,1.7608695652173914,2.3215579710144927,1.707427536231884,1.7028985507246377,1.5778985507246377,1.8786231884057971,1.6213768115942029,1.6875,2.1168478260869565,1.9701086956521738,1.4465579710144927,1.3922101449275361,1.5588768115942029,1.6702898550724639,2.038949275362319,1.6784420289855073,1.7028985507246377,1.733695652173913,1.8759057971014492,1.7110507246376812
17,MOQUEGUA,1829.6693179836275,470.38932146829814,1.8162100456621004,1.8841324200913243,2.339041095890411,1.8550228310502284,1.851027397260274,1.7237442922374429,1.9509132420091324,1.7990867579908676,1.7414383561643836,2.2083333333333335,1.8961187214611872,1.2636986301369864,1.2910958904109588,1.6221461187214612,1.75,2.2557077625570776,1.7300228310502284,1.7254566210045663,1.7751141552511416,1.8167808219178083,1.7054794520547945
18,PASCO,1351.284828058103,134.4367088607595,1.7196367763904654,1.8195232690124858,2.586265607264472,1.7185017026106697,1.814982973893303,1.8308740068104428,1.9841089670828604,1.6407491486946653,1.7377979568671964,2.3972758229284903,2.0005675368898976,1.358683314415437,1.3269012485811578,1.5380249716231555,1.7973893303064699,1.9852440408626562,1.7037457434733259,1.7412031782065833,1.7871736662883086,1.9341657207718501,1.7202043132803633
19,PIURA,1386.4372499083524,352.03986710963454,2.014230271668823,2.0834411384217333,2.6707632600258733,1.9065329883570505,1.9220569210866754,1.9851228978007762,2.3638421733505823,1.8395860284605434,1.9142949547218628,2.5507761966364813,2.1840232858990944,1.5216688227684347,1.445019404915912,1.9366106080206986,2.14391979301423,2.729948253557568,1.9191461836998707,1.9220569210866754,1.990620957309185,2.0941138421733507,1.9498706338939198
20,PUNO,999.5075579488965,104.63465553235908,1.910323253388947,1.9535974973931178,2.2528675703858188,1.7591240875912408,1.8279457768508864,1.5104275286757038,1.6725755995828988,1.740354535974974,1.629822732012513,2.14754953076121,1.948905109489051,1.362356621480709,1.4035453597497394,1.6381647549530762,1.740354535974974,2.116788321167883,1.7705943691345152,1.7685088633993744,1.8289885297184567,1.8388946819603753,1.794577685088634
21,SAN MARTIN,1370.4624200498129,289.7945205479452,1.9702336096458177,2.0203466465712134,2.7087415222305955,1.9913338357196684,1.9969856819894498,2.057648831951771,2.3477769404672193,1.9253956292388847,1.955162019593067,2.5614167294649586,2.241522230595328,1.460060286360211,1.420120572720422,1.8168801808590807,2.0082893745290127,2.3605877920120575,1.8383571966842502,1.9321778447626226,1.9668425018839488,2.1145440844009045,1.907309721175584
22,TACNA,1555.3717504682686,325.96,1.8375120540019287,1.8871745419479267,2.3611378977820636,1.7333654773384763,1.7743490838958533,1.665380906460945,1.9093539054966249,1.6451301832208294,1.6682738669238186,2.1475409836065573,1.860655737704918,1.2878495660559306,1.3187078109932497,1.5443587270973964,1.6509161041465767,2.1176470588235294,1.5978784956605594,1.6634522661523625,1.688042430086789,1.7459016393442623,1.6557377049180328
23,TUMBES,1466.911368377306,314.36948297604033,1.9454976303317535,1.9881516587677726,2.786729857819905,1.6718009478672986,1.664691943127962,2.1664691943127963,2.384478672985782,1.572867298578199,1.8590047393364928,2.7381516587677726,2.036729857819905,1.3453791469194314,1.4514218009478672,1.7582938388625593,1.992298578199052,2.771919431279621,1.7582938388625593,1.8364928909952607,1.8489336492890995,1.9206161137440758,1.794431279620853
24,UCAYALI,1449.2148556340155,282.1105769230769,1.7721119133574008,1.8077617328519855,2.513086642599278,1.8285198555956679,1.819043321299639,1.8596570397111913,2.1204873646209386,1.7044223826714802,1.7901624548736461,2.4038808664259927,1.9056859205776173,1.3763537906137184,1.3501805054151625,1.6425992779783394,1.822653429602888,2.094765342960289,1.68456678700361,1.7549638989169676,1.7653429602888087,1.9729241877256318,1.76985559566787
